_id,GID,COD_CIRCUITO,TURNO_HORARIO,X,Y
5111,46239,G_DU_RM_CL_11       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",570117.9987791764,6146674.330872453
5112,46248,G_DU_RM_CL_11       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",570922.1481564878,6145699.035691758
5113,46251,G_DU_RM_CL_11       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",570786.8921803411,6145906.481074527
5114,46260,G_DU_RM_CL_11       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",570397.2163342149,6146331.353208266
5115,48422,G_DU_RM_CL_10       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",570665.7860917875,6144919.932510151
5116,55744,C_DU_RM_CL_10       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ",575006.5772393823,6140148.060638668
5117,60093,D_DU_RM_CL_01       ,"DOMINGO, MARTES Y VIERNES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                                            ",575185.5614868382,6143055.316318426
5118,55610,C_DU_RM_CL_05       ,"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ",575034.3571176918,6142140.230648796
5119,56457,CH_DU_RM_CL_10      ,"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ",579252.2862901839,6137813.412021349
5120,56604,F_DU_RM_CL_12       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",582162.7541259157,6146771.400815536
5121,56604,F_DU_RM_CL_12       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",582162.7541259157,6146771.400815536
